FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR542,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149,FloHyb_H158,FloHyb_H17,FloHyb_H192,FloHyb_H2,FloHyb_H210,FloHyb_H27,FloHyb_H29,FloHyb_H5,FloHyb_I64,FloHyb_I8,FloHyb_I94,FloHyb_I96,FloHyb_Z1,FloHyb_Z11,FloHyb_Z12,FloHyb_Z13,FloHyb_Z14,FloHyb_Z15,FloHyb_Z18,FloHyb_Z19,FloHyb_Z2,FloHyb_Z20,FloHyb_Z21,FloHyb_Z3,FloHyb_Z4,FloHyb_Z5,FloHyb_Z6,FloHyb_Z7,FloHyb_Z8,FloHyb_Z9
175560,190417,158903,94060,189386,175328,88722,124941,129848,83832,0,228672,201192,52400,178988,280099,66666,183230,201393,151786,52434,153947,56061,164676,17560,255347,152169,165611,1,140232,389737,79749,44126,290463,219675,80939,66316,3,146723,1,450222,165888,0,153233,16,79653,12,76876,390772,245987,193225
155467,166435,211782,36057,156657,261110,20491,11344,255529,195316,228672,0,183170,165564,175159,49556,120022,85448,68662,237259,189294,243453,145636,211275,177655,306290,172950,157920,267701,73319,514194,229023,125305,191990,44241,90700,154713,52422,147470,492263,357691,146810,19,149267,1396,139377,220804,475109,90714,46368,97945
168312,42078,155337,153981,145230,172784,133057,253844,161978,215127,201192,183170,0,331172,8,7,32754,71230,62850,44781,190453,136077,169301,117805,144558,11804,174587,74480,237569,137008,80836,252367,142155,136655,205882,74923,54275,190819,143434,475622,319678,78959,89361,73198,1743,4,200749,204556,105129,29,241453
70814,139535,142497,29955,148755,131785,180113,154009,121094,228042,52400,165564,331172,0,208645,444519,77809,253394,123040,35595,182434,227173,157342,27913,128072,122156,165047,174746,258473,7,131309,215050,45040,147207,156265,52154,28793,187411,132784,509565,141596,221175,66106,153902,87983,226010,189604,194229,207801,113535,356271
123177,58843,247852,202145,78682,135753,1,141564,473191,322790,178988,175159,8,208645,0,200564,71693,50634,268101,209005,248324,387063,192990,44332,172991,115060,194192,154356,203459,74969,159351,199472,36816,54695,36182,125410,105378,143053,132044,93168,139009,231748,273351,329074,134961,190223,63207,121645,168000,142712,59076
14,4,464433,433841,427105,97350,132363,12,313321,319271,280099,49556,7,444519,200564,0,238728,50151,111987,139291,203481,500842,174933,21454,103809,237536,51870,36172,195910,474931,2653,250000,27128,168112,20796,67332,78857,187241,173087,129861,236509,49677,6,33052,21,175443,0,60010,403192,138398,244217
170910,358576,443399,67024,198574,234980,15,328245,175568,325466,66666,120022,32754,77809,71693,238728,0,208219,52623,89164,91817,300219,62777,318526,21599,69323,198896,187231,83,217135,339833,113370,87145,220675,157608,60536,18324,13,115091,12,113561,202349,12690,142384,41349,91279,523547,166858,261739,125143,249828
106883,97004,48893,83885,203877,23140,64082,192464,88446,51310,183230,85448,71230,253394,50634,50151,208219,0,79437,220443,143610,23090,88466,237913,328058,2669,182476,137361,414025,123237,220422,102324,109580,47434,163239,78342,178494,116631,108431,238934,412298,76381,10441,51955,17,26,270570,117461,298707,89370,8
448155,43157,48726,50704,49887,69093,62939,30160,26616,216574,201393,68662,62850,123040,268101,111987,52623,79437,0,298399,199240,219105,244600,169753,87775,90445,26211,200030,365639,172229,224216,276264,153241,16228,145524,96619,35651,131112,140586,241635,228272,201364,107005,272397,57292,555293,233728,39523,197688,40546,279175
176751,371758,74677,129274,175076,219990,227888,85008,233794,106517,151786,237259,44781,35595,209005,139291,89164,220443,298399,0,181640,112110,72052,113546,28904,129675,29505,221738,384876,935,112944,231861,46944,248211,229804,41226,30054,9,126471,219729,312026,93837,160736,24,27,281331,136911,104824,82410,82794,145073
83567,182696,107998,38054,50162,110287,81023,126339,557246,230703,52434,189294,190453,182434,248324,203481,91817,143610,199240,181640,0,234091,160318,47587,117917,173748,155343,208847,115168,138473,170589,176961,78563,229013,208089,68097,194929,2,110248,64597,259000,166168,32,1,8,269879,362812,46920,329790,245075,301011
210122,449829,97459,178138,41552,2,11,455383,24,142866,153947,243453,136077,227173,387063,500842,300219,23090,219105,112110,234091,0,147594,46400,73078,104528,29475,211725,40250,242747,131639,166067,110259,49701,30437,160610,84722,56508,13,107563,1,216426,143240,178978,33,0,364959,29421,341668,64534,315027
112611,76133,268567,210686,35223,119168,90463,138740,257662,172012,56061,145636,169301,157342,192990,174933,62777,88466,244600,72052,160318,147594,0,154531,195006,81667,174294,56343,62107,474454,179350,131605,76537,225443,38432,15088,179532,5,160668,31,46307,208312,53807,529996,157159,140657,547565,188294,454326,239097,56830
170951,172118,109783,151978,194317,74747,72799,182654,128532,158592,164676,211275,117805,27913,44332,21454,318526,237913,169753,113546,47587,46400,154531,0,183144,80637,180112,221028,239897,450,77061,72414,137332,129580,227664,71820,158867,244281,139205,564537,366037,62861,9,464593,6101,568441,59295,3,10992,155136,163016
177660,82799,8121,25009,79506,111663,110263,24730,191401,109316,17560,177655,144558,128072,172991,103809,21599,328058,87775,28904,117917,73078,195006,183144,0,110577,220100,15753,326727,471285,130072,155619,63429,176262,179852,75196,19952,81813,92869,334112,83217,368460,195934,1,46911,160919,380775,149453,74878,139680,225193
110421,15533,27050,4756,194755,183807,131852,116752,164419,160089,255347,306290,11804,122156,115060,237536,69323,2669,90445,129675,173748,104528,81667,80637,110577,0,191316,215289,167485,41,12752,215767,172691,212069,216397,90981,15106,220372,152465,274884,372906,67106,86201,575132,18490,489858,153941,84,249813,393088,186108
116860,246434,167479,194150,82848,299860,147533,63198,36879,198773,152169,172950,174587,165047,194192,51870,198896,182476,26211,29505,155343,29475,174294,180112,220100,191316,0,60138,411105,470932,209390,229140,31336,32659,226388,90217,41852,150260,154678,264302,6,169487,19,73537,196529,64310,174888,43,74396,538771,36
58700,171267,187447,206779,217694,132290,181981,145841,208165,226057,165611,157920,74480,174746,154356,36172,187231,137361,200030,221738,208847,211725,56343,221028,15753,215289,60138,0,256270,469017,137898,45018,40085,196132,236284,52838,46384,67938,115932,160283,365836,204305,4,123330,2010,185313,14,105299,358744,56021,399076
80759,199674,272107,392943,294658,202171,2063,210160,278890,21,1,267701,237569,258473,203459,195910,83,414025,365639,384876,115168,40250,62107,239897,326727,167485,411105,256270,0,55758,271627,38892,112677,222409,163858,92718,35283,132566,92286,478739,355261,197961,22259,251894,4,20,421902,10,77433,169590,240992
51735,332205,325345,29,279497,94112,424714,98757,42568,237775,140232,73319,137008,7,74969,474931,217135,123237,172229,935,138473,242747,474454,450,471285,41,470932,469017,55758,0,226985,179205,41172,228432,67803,98371,25493,352433,82385,69229,200368,193122,28380,227350,1,340457,257145,48361,201841,5,66990
36,250936,210410,205402,52533,43,665131,219740,229643,134438,389737,514194,80836,131309,159351,2653,339833,220422,224216,112944,170589,131639,179350,77061,130072,12752,209390,137898,271627,226985,0,74147,37107,150189,239773,99661,29878,362182,152976,169068,72720,76420,183433,199770,6,252769,243238,3,176002,360198,87737
56242,184744,96489,30906,32834,111709,117175,105895,233699,211744,79749,229023,252367,215050,199472,250000,113370,102324,276264,231861,176961,166067,131605,72414,155619,215767,229140,45018,38892,179205,74147,0,170549,298879,246005,51513,31721,17,131753,187847,188702,132153,612,60703,2,252732,61478,68546,358286,250037,166883
219652,125627,146315,122315,45704,53020,127922,113784,183949,98224,44126,125305,142155,45040,36816,27128,87145,109580,153241,46944,78563,110259,76537,137332,63429,172691,31336,40085,112677,41172,37107,170549,0,121788,180086,13812,158275,115415,117108,42,162100,138617,90189,4,57442,510298,161514,0,312113,219795,78955
74124,182851,48292,126404,49423,164382,66325,62342,135758,102604,290463,191990,136655,147207,54695,168112,220675,47434,16228,248211,229013,49701,225443,129580,176262,212069,32659,196132,222409,228432,150189,298879,121788,0,220768,226738,188758,221851,55645,133328,159877,171130,189139,163019,0,0,208730,0,49916,40670,21655
180029,85190,201411,99865,32598,187949,109669,134798,224153,279757,219675,44241,205882,156265,36182,20796,157608,163239,145524,229804,208089,30437,38432,227664,179852,216397,226388,236284,163858,67803,239773,246005,180086,220768,0,88647,102104,53095,116053,317021,51790,124746,183,520923,42600,86792,155271,5,292125,141259,108739
64695,246768,214868,26235,167018,87838,222118,154842,75558,91352,80939,90700,74923,52154,125410,67332,60536,78342,96619,41226,68097,160610,15088,71820,75196,90981,90217,52838,92718,98371,99661,51513,13812,226738,88647,0,68659,257094,102299,222638,24578,194112,149489,266751,355918,126984,179700,140200,233863,142377,71950
61264,43997,124312,83469,85953,179852,54819,105797,72956,14154,66316,154713,54275,28793,105378,78857,18324,178494,35651,30054,194929,84722,179532,158867,19952,15106,41852,46384,35283,25493,29878,31721,158275,188758,102104,68659,0,40616,157033,235404,134764,228473,26197,260899,1,3,271915,8348,80336,185885,364973
112650,145858,96447,28726,26643,176851,109350,237330,31300,85153,3,52422,190819,187411,143053,187241,13,116631,131112,9,2,56508,5,244281,81813,220372,150260,67938,132566,352433,362182,17,115415,221851,53095,257094,40616,0,161571,257631,110881,189110,36745,146634,50,249368,233887,10670,285193,243892,85
93905,94388,135886,95518,43238,27029,90178,143788,171428,132906,146723,147470,143434,132784,132044,173087,115091,108431,140586,126471,110248,13,160668,139205,92869,152465,154678,115932,92286,82385,152976,131753,117108,55645,116053,102299,157033,161571,0,190249,136727,147711,110849,356743,50,214578,86314,194702,347528,111392,207861
99901,103200,159294,234936,138757,202562,25,166053,489559,6,1,492263,475622,509565,93168,129861,12,238934,241635,219729,64597,107563,31,564537,334112,274884,264302,160283,478739,69229,169068,187847,42,133328,317021,222638,235404,257631,190249,0,293698,189706,139412,525072,87336,240550,155034,48,8742,232875,71218
221660,264986,13,4,282826,233683,262058,198750,206407,2,450222,357691,319678,141596,139009,236509,113561,412298,228272,312026,259000,1,46307,366037,83217,372906,6,365836,355261,200368,72720,188702,162100,159877,51790,24578,134764,110881,136727,293698,0,209485,148942,63047,138984,37062,190447,51840,232541,206591,281192
51354,265003,259183,220971,237462,222949,127716,142535,273402,233783,165888,146810,78959,221175,231748,49677,202349,76381,201364,93837,166168,216426,208312,62861,368460,67106,169487,204305,197961,193122,76420,132153,138617,171130,124746,194112,228473,189110,147711,189706,209485,0,219942,80766,54645,232871,74326,104240,76284,152224,316626
164929,41540,178299,249796,166036,34128,3,289185,297259,25,0,19,89361,66106,273351,6,12690,10441,107005,160736,32,143240,53807,9,195934,86201,19,4,22259,28380,183433,612,90189,189139,183,149489,26197,36745,110849,139412,148942,219942,0,181859,31172,673515,137574,436920,486824,212837,267125
22320,321444,351833,328980,195881,147327,127436,97182,232953,281815,153233,149267,73198,153902,329074,33052,142384,51955,272397,24,1,178978,529996,464593,1,575132,73537,123330,251894,227350,199770,60703,4,163019,520923,266751,260899,146634,356743,525072,63047,80766,181859,0,0,231692,57714,329929,258330,191794,86248
429952,258293,222681,295665,1,3,8,40081,52838,283172,16,1396,1743,87983,134961,21,41349,17,57292,27,8,33,157159,6101,46911,18490,196529,2010,4,1,6,2,57442,0,42600,355918,1,50,50,87336,138984,54645,31172,0,0,133425,249679,90116,38509,270927,1625
0,135891,246,119,186436,7,48640,7,496242,483395,79653,139377,4,226010,190223,175443,91279,26,555293,281331,269879,0,140657,568441,160919,489858,64310,185313,20,340457,252769,252732,510298,0,86792,126984,3,249368,214578,240550,37062,232871,673515,231692,133425,0,196156,233082,122517,362638,109466
495324,73942,144450,169978,3,292930,237113,279712,80397,122060,12,220804,200749,189604,63207,0,523547,270570,233728,136911,362812,364959,547565,59295,380775,153941,174888,14,421902,257145,243238,61478,161514,208730,155271,179700,271915,233887,86314,155034,190447,74326,137574,57714,249679,196156,0,153714,206723,255309,7
106503,67424,173722,69780,176777,194938,167534,537621,159245,109407,76876,475109,204556,194229,121645,60010,166858,117461,39523,104824,46920,29421,188294,3,149453,84,43,105299,10,48361,3,68546,0,0,5,140200,8348,10670,194702,48,51840,104240,436920,329929,90116,233082,153714,0,99586,59781,187480
273753,298113,271450,53579,331696,443367,2,380130,50586,342392,390772,90714,105129,207801,168000,403192,261739,298707,197688,82410,329790,341668,454326,10992,74878,249813,74396,358744,77433,201841,176002,358286,312113,49916,292125,233863,80336,285193,347528,8742,232541,76284,486824,258330,38509,122517,206723,99586,0,310562,250771
65225,129647,106773,70274,41946,38386,75024,21,131435,94439,245987,46368,29,113535,142712,138398,125143,89370,40546,82794,245075,64534,239097,155136,139680,393088,538771,56021,169590,5,360198,250037,219795,40670,141259,142377,185885,243892,111392,232875,206591,152224,212837,191794,270927,362638,255309,59781,310562,0,71605
30,264379,83364,370914,165261,142047,100575,219675,285833,45948,193225,97945,241453,356271,59076,244217,249828,8,279175,145073,301011,315027,56830,163016,225193,186108,36,399076,240992,66990,87737,166883,78955,21655,108739,71950,364973,85,207861,71218,281192,316626,267125,86248,1625,109466,7,187480,250771,71605,0
