Ind_0_F,Ind_1_F,Ind_2_F,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_F,Ind_10_M,Ind_11_M,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_M,Ind_17_F,Ind_18_M,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_M,Ind_23_F,Ind_24_F,Ind_25_F,Ind_26_M,Ind_27_M,Ind_28_M,Ind_29_M,Ind_30_F,Ind_31_M,Ind_32_M,Ind_33_M,Ind_34_F,Ind_35_F,Ind_36_F,Ind_37_M,Ind_38_M,Ind_39_M,Ind_40_M,Ind_41_F,Ind_42_F,Ind_43_F,Ind_44_M
300,468,547,634,429,565,472,424,216,491,454,545,435,560,548,563,369,510,355,587,697,522,539,362,645,467,489,376,232,566,0,455,617,631,489,518,332,699,427,541,780,355,527,449,422
469,152,468,284,431,476,551,401,295,329,623,531,468,531,662,582,239,569,393,321,427,457,423,533,469,314,382,396,424,473,455,0,501,484,484,605,564,523,530,654,631,477,549,619,523
490,360,480,389,438,628,531,621,454,371,310,362,637,343,324,674,697,592,506,509,539,566,556,683,523,238,559,465,714,280,617,501,0,323,379,558,625,283,704,549,245,284,485,470,350
472,538,507,624,637,545,673,656,228,366,688,447,368,359,804,533,480,519,630,573,504,524,340,581,655,517,608,528,438,542,631,484,323,0,503,653,517,421,176,603,480,343,627,447,475
575,451,267,491,768,389,400,727,552,410,356,509,524,543,482,339,545,515,520,607,461,840,316,452,723,450,557,490,348,641,489,484,379,503,0,560,588,392,477,626,728,265,585,366,659
515,529,408,354,324,526,473,552,386,563,658,487,565,479,594,581,222,308,515,426,554,525,632,481,555,464,561,514,496,521,518,605,558,653,560,0,696,697,620,431,357,401,473,472,751
568,492,576,317,317,361,362,318,607,489,288,541,487,657,425,599,572,492,690,439,652,489,415,623,564,453,523,224,471,669,332,564,625,517,588,696,0,451,530,667,585,410,326,519,317
481,474,562,379,321,600,386,557,574,483,598,344,289,390,517,284,546,470,401,262,625,421,677,453,502,547,520,601,462,533,699,523,283,421,392,697,451,0,362,537,401,379,623,460,430
436,676,407,527,428,466,686,481,358,555,576,436,579,477,586,587,412,605,638,529,641,367,595,325,521,739,454,484,573,586,427,530,704,176,477,620,530,362,0,642,479,483,640,520,467
573,574,444,384,597,581,481,310,319,477,462,567,480,452,528,576,599,458,351,536,503,468,510,596,660,488,446,477,575,738,541,654,549,603,626,431,667,537,642,0,468,454,499,662,483
577,639,614,387,531,483,629,473,457,535,569,314,582,637,451,363,560,523,425,595,712,537,541,254,467,464,410,487,470,519,780,631,245,480,728,357,585,401,479,468,0,581,227,378,248
361,634,386,502,444,397,663,303,391,619,460,412,408,485,597,582,537,495,286,467,439,630,608,591,504,408,431,554,449,417,355,477,284,343,265,401,410,379,483,454,581,0,508,451,443
587,446,682,555,473,638,550,609,430,290,318,579,556,533,423,496,508,492,476,398,563,377,515,549,607,431,533,644,471,580,527,549,485,627,585,473,326,623,640,499,227,508,0,531,581
476,652,433,393,537,605,379,524,643,638,491,465,375,542,549,500,631,407,511,492,538,552,413,532,509,477,478,493,400,384,449,619,470,447,366,472,519,460,520,662,378,451,531,0,569
320,366,611,450,519,644,557,503,511,495,539,539,573,388,354,504,268,491,550,400,651,378,406,360,590,501,530,499,579,691,422,523,350,475,659,751,317,430,467,483,248,443,581,569,0
