FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149,FloHyb_H17,FloHyb_H192,FloHyb_H210,FloHyb_H27,FloHyb_H29,FloHyb_H2,FloHyb_H5,FloHyb_I64,FloHyb_I8,FloHyb_I94,FloHyb_I96,FloHyb_Z11,FloHyb_Z12,FloHyb_Z13,FloHyb_Z14,FloHyb_Z15,FloHyb_Z18,FloHyb_Z19,FloHyb_Z1,FloHyb_Z20,FloHyb_Z21,FloHyb_Z2,FloHyb_Z3,FloHyb_Z4,FloHyb_Z5,FloHyb_Z6,FloHyb_Z7,FloHyb_Z8
243453,473191,192464,89164,160318,28904,172950,272107,474931,130072,45704,290463,134798,80939,154713,143788,0,234936,138757,202562,25,166053,489559,6,1,492263,475622,509565,93168,129861,12,238934,241635,219729,64597,31,564537,274884,264302,160283,334112,478739,69229,169068,187847,42,317021,222638
155467,322790,88446,220443,46400,117917,174587,392943,217135,271627,53020,191990,224153,90700,54275,171428,234936,0,257631,190249,1,221660,264986,13,4,282826,233683,262058,198750,206407,2,450222,357691,319678,141596,139009,236509,113561,412298,228272,312026,259000,46307,366037,372906,6,365836,83217
166435,178988,51310,298399,170951,195006,165047,294658,123237,226985,127922,136655,279757,74923,28793,132906,138757,257631,0,200368,72720,188702,162100,51790,24578,134764,110881,136727,293698,216426,51354,265003,259183,220971,237462,222949,127716,142535,273402,233783,165888,146810,78959,221175,231748,49677,202349,76381
211782,175159,183230,234091,172118,183144,194192,202171,172229,166067,113784,147207,219675,52154,105378,146723,202562,190249,200368,0,93837,166168,208312,62861,67106,169487,204305,368460,197961,193122,76420,132153,138617,124746,194112,228473,189110,147711,189706,209485,171130,219942,80766,143240,164929,41540,178299,249796
36057,8,85448,83567,109783,110577,51870,2063,935,56242,183949,54695,44241,125410,78857,147470,25,1,72720,93837,0,34128,3,289185,297259,25,0,19,89361,66106,273351,6,12690,10441,107005,160736,32,53807,9,86201,19,4,195934,22259,28380,183433,612,90189
156657,208645,71230,182696,151978,220100,198896,210160,138473,184744,98224,168112,205882,67332,18324,143434,166053,221660,188702,166168,34128,0,149489,26197,36745,110849,139412,148942,189139,178978,22320,321444,351833,328980,195881,147327,127436,97182,232953,281815,153233,149267,73198,153902,329074,33052,142384,51955
261110,500842,253394,107998,194317,15753,182476,278890,474454,96489,44126,220675,156265,60536,178494,132784,489559,264986,162100,208312,3,149489,0,24,1,529996,464593,575132,73537,123330,1,251894,227350,199770,60703,4,520923,266751,260899,146634,356743,525072,63047,163019,181859,33,429952,258293
20491,14,50634,38054,74747,104528,26211,21,450,30906,125305,47434,36182,78342,35651,132044,6,13,51790,62861,289185,26197,24,0,295665,1,3,8,40081,52838,283172,16,1396,1743,87983,134961,21,41349,17,57292,27,8,157159,6101,18490,196529,2010,46911
11344,4,50151,50162,72799,110421,29505,1,41,32834,142155,16228,20796,96619,30054,173087,1,4,24578,67106,297259,36745,1,295665,0,1,6,2,57442,42600,355918,1,50,50,87336,138984,0,31172,0,54645,0,0,135891,246,119,186436,7,48640
255529,464433,208219,110287,182654,15533,155343,267701,470932,111709,45040,248211,157608,41226,194929,115091,492263,282826,134764,169487,25,110849,529996,1,1,0,496242,483395,79653,139377,4,226010,190223,175443,91279,26,555293,281331,269879,140657,568441,489858,64310,185313,160919,20,340457,252769
195316,433841,219105,81023,128532,27050,174294,237569,469017,117175,36816,229013,163239,68097,179532,108431,475622,233683,110881,204305,0,139412,464593,3,6,496242,0,510298,86792,126984,3,249368,214578,240550,37062,0,673515,231692,232871,133425,364959,495324,73942,144450,169978,3,292930,237113
228672,427105,448155,126339,158592,4756,180112,258473,471285,105895,27128,225443,145524,15088,158867,140586,509565,262058,136727,368460,19,148942,575132,8,2,483395,510298,0,80397,122060,12,220804,200749,189604,63207,0,523547,270570,233728,136911,362812,547565,59295,153941,174888,14,380775,421902
136077,97350,43157,557246,164676,194755,191316,203459,55758,233699,87145,129580,229804,71820,15106,126471,93168,198750,293698,197961,89361,189139,73537,40081,57442,79653,86792,80397,0,243238,61478,161514,155271,179700,271915,233887,86314,155034,190447,208730,137574,57714,74326,249679,196156,29421,106503,67424
168312,132363,48726,230703,211275,183807,211725,195910,131639,211744,109580,212069,208089,90981,41852,110248,129861,206407,216426,193122,66106,178978,123330,52838,42600,139377,126984,122060,243238,0,69780,176777,194938,167534,537621,159245,109407,76876,475109,204556,194229,121645,60010,166858,117461,39523,104824,46920
42078,12,50704,52434,117805,131852,58700,83,36,79749,153241,32659,38432,90217,46384,160668,12,2,51354,76420,273351,22320,1,283172,355918,4,3,12,61478,69780,0,3,84,43,105299,149453,10,48361,3,68546,0,5,140200,8348,10670,194702,48,51840
155337,313321,49887,189294,27913,116752,171267,414025,250936,229023,46944,196132,227664,52838,19952,139205,238934,450222,265003,132153,6,321444,251894,16,1,226010,249368,220804,161514,176777,3,0,436920,329929,104240,90116,233082,153714,341668,273753,298113,271450,53579,331696,443367,2,380130,50586
153981,319271,69093,190453,44332,164419,187447,365639,210410,252367,78563,176262,216397,75196,35283,152465,241635,357691,259183,138617,12690,351833,227350,1396,50,190223,214578,200749,155271,194938,84,436920,0,390772,90714,105129,207801,168000,403192,261739,298707,197688,82410,329790,454326,10992,249813,74396
145230,280099,62939,182434,21454,160089,206779,384876,205402,215050,76537,222409,226388,92718,25493,154678,219729,319678,220971,124746,10441,328980,199770,1743,50,175443,240550,189604,179700,167534,43,329929,390772,0,74878,77433,201841,176002,358286,312113,292125,233863,80336,285193,347528,8742,232541,49916
172784,49556,30160,248324,318526,255347,217694,115168,52533,199472,137332,228432,236284,98371,29878,115932,64597,141596,237462,194112,107005,195881,60703,87983,87336,91279,37062,63207,271915,537621,105299,104240,90714,74878,0,258330,76284,38509,122517,206723,99586,64534,65225,129647,106773,70274,41946,38386
133057,7,26616,203481,237913,306290,132290,62107,43,250000,172691,150189,179852,99661,31721,92869,31,139009,222949,228473,160736,147327,4,134961,138984,26,0,0,233887,159245,149453,90116,105129,77433,258330,0,21,131435,94439,245987,46368,29,113535,142712,138398,125143,89370,40546
253844,444519,216574,91817,169753,11804,181981,239897,665131,113370,31336,298879,163858,51513,158275,92286,564537,236509,127716,189110,32,127436,520923,21,0,555293,673515,523547,86314,109407,10,233082,207801,201841,76284,21,0,245075,239097,155136,393088,538771,56021,139680,169590,5,360198,250037
161978,200564,201393,143610,113546,122156,145841,167485,219740,102324,40085,121788,67803,13812,102104,82385,274884,113561,142535,147711,53807,97182,266751,41349,31172,281331,231692,270570,155034,76876,48361,153714,168000,176002,38509,131435,245075,0,141259,142377,185885,243892,111392,232875,206591,40670,212837,191794
215127,300219,68662,199240,47587,115060,208165,411105,229643,276264,63429,220768,239773,88647,68659,152976,264302,412298,273402,189706,9,232953,260899,17,0,269879,232871,233728,190447,475109,3,341668,403192,358286,122517,94439,239097,141259,0,270927,362638,255309,59781,310562,315027,30,264379,83364
201192,170910,62850,181640,154531,237536,226057,256270,134438,231861,112677,226738,246005,84722,56508,131753,160283,228272,233783,209485,86201,281815,146634,57292,54645,140657,133425,136911,208730,204556,68546,273753,261739,312113,206723,245987,155136,142377,270927,0,165261,142047,100575,219675,285833,45948,193225,97945
183170,358576,123040,147594,73078,69323,165611,326727,389737,176961,41172,188758,180086,61264,112650,117108,334112,312026,165888,171130,19,153233,356743,27,0,568441,364959,362812,137574,194229,0,298113,298707,292125,99586,46368,393088,185885,362638,165261,0,356271,59076,244217,249828,8,279175,145073
227173,443399,268101,112611,177660,2669,157920,242747,514194,131605,37107,221851,160610,43997,145858,116053,478739,259000,146810,219942,4,149267,525072,8,0,489858,495324,547565,57714,121645,5,271450,197688,233863,64534,29,538771,243892,255309,142047,356271,0,56830,163016,186108,36,399076,225193
70814,67024,111987,76133,82799,90445,74480,51735,80836,72414,170549,55645,64695,124312,96447,102299,69229,46307,78959,80766,195934,73198,63047,157159,135891,64310,73942,59295,74326,60010,140200,53579,82410,80336,65225,113535,56021,111392,59781,100575,59076,56830,0,66990,87737,166883,78955,108739
139535,198574,52623,268567,8121,129675,174746,332205,131309,215767,49701,133328,246768,83469,28726,157033,169068,366037,221175,143240,22259,153902,163019,6101,246,185313,144450,153941,249679,166858,8348,331696,329790,285193,129647,142712,139680,232875,310562,219675,244217,163016,66990,0,364973,85,207861,71218
142497,234980,79437,210686,25009,173748,154356,325345,159351,229140,74124,159877,214868,85953,26643,161571,187847,372906,231748,164929,28380,329074,181859,18490,119,160919,169978,174888,196156,117461,10670,443367,454326,347528,106773,138398,169590,206591,315027,285833,249828,186108,87737,364973,0,21655,267125,86248
29955,15,112110,35223,79506,81667,36172,29,2653,45018,182851,30437,26235,179852,176851,107563,42,6,49677,41540,183433,33052,33,196529,186436,20,3,14,29421,39523,194702,2,10992,8742,70274,125143,5,40670,30,45948,8,36,166883,85,21655,0,1625,109466
148755,328245,176751,119168,111663,80637,187231,279497,339833,155619,48292,180029,167018,54819,109350,99901,317021,365836,202349,178299,612,142384,429952,2010,7,340457,292930,380775,106503,104824,48,380130,249813,232541,41946,89370,360198,212837,264379,193225,279175,399076,78955,207861,267125,1625,0,187480
131785,175568,371758,90463,110263,29475,137361,94112,220422,38892,126404,85190,87838,105797,237330,103200,222638,83217,76381,249796,90189,51955,258293,46911,48640,252769,237113,421902,67424,46920,51840,50586,74396,49916,38386,40546,250037,191794,83364,97945,145073,225193,108739,71218,86248,109466,187480,0
